allInPings,assistMePings,assists,baitPings,baronKills,basicPings,bountyLevel,champExperience,champLevel,championId,championName,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,pushPings,quadraKills,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,matchID
0,0,1,0,0,0,15,16768,17,245,Ekko,0,0,2,3480,9654,3480,16449,0,1,0,1,1,True,14,1,False,False,False,False,False,True,0,14387,13450,0,MIDDLE,0,0,0,7011,3020,3100,4645,1058,1058,3364,19,1,16,TOP,0,15,5,240,147062,24167,6012,0,8,0,0,0,0,0,2,3,1,19559,3215,10920,5271,0,1,DUO,0,92,24,63,8,3,4,6,14,71,cieŁ,False,100,MIDDLE,17,1536,167437,28147,0,17197,6396,0,196,315,12,1,1,814,764,265,1,1,3,0,0,24,2,4,0,True,NA1_4573491685
0,0,5,0,0,0,0,10449,13,18,Tristana,0,0,7,3927,14635,3927,6996,0,2,0,1,0,True,0,0,False,False,False,False,False,True,0,9828,9675,0,BOTTOM,0,0,0,6672,3006,3046,1037,1038,0,3363,22,1,3,BOTTOM,383,2,2,1145,16704,1180,4406,0,8,0,0,0,0,0,3,4,0,65940,6244,8432,4575,0,0,CARRY,0,17,16,20,4,3,4,3,7,496,LYT4URY,False,100,BOTTOM,2,1536,89872,8262,0,13204,4048,352,130,14,76,2,0,7228,837,365,2,3,3,0,0,32,2,2,0,True,NA1_4573491685
0,1,5,0,0,0,0,8655,12,161,Velkoz,0,0,5,562,2532,562,4884,0,5,0,0,0,True,2,0,False,False,False,False,False,True,0,7090,6360,0,UTILITY,0,0,0,3853,6655,3020,3108,1052,0,3364,17,0,1,BOTTOM,0,0,1,699,35516,7332,5855,0,0,0,0,0,0,0,3,5,0,3881,219,6807,4754,0,0,SUPPORT,0,95,53,20,4,2,4,2,14,396,Darkzer,False,100,UTILITY,13,1536,51416,9625,0,12973,0,0,47,140,157,0,0,12017,2073,310,1,1,3,0,0,49,3,7,0,True,NA1_4573491685
0,0,2,0,0,0,0,12527,14,83,Yorick,0,6,1,7613,15791,7613,16062,0,6,0,1,0,True,0,0,False,False,False,False,False,True,8,10429,9500,0,TOP,0,0,0,1054,6632,3181,3047,3035,1036,3340,17,1,3,TOP,0,2,2,526,26233,5905,10002,0,4,0,0,0,0,0,9,6,0,108446,11799,11490,539,0,0,SOLO,0,135,14,46,4,2,12,5,6,148,Swizzbeatz,False,200,TOP,9,1536,142454,17811,0,23092,3548,0,207,136,180,1,0,7774,106,1600,3,3,5,0,0,12,0,1,0,False,NA1_4573491685
8,1,7,0,0,0,0,11962,14,120,Hecarim,0,0,3,1069,20798,1069,16679,0,5,0,0,1,True,12,0,True,False,False,False,False,True,1,10487,9200,1,JUNGLE,0,0,0,3042,2055,6691,3133,3158,3067,3364,18,1,4,JUNGLE,0,3,1,425,16022,636,9093,0,152,0,0,0,0,0,6,7,0,181354,9863,17758,1666,2,0,NONE,0,261,53,37,5,14,11,6,6,62,TakoyakiSenpai69,False,200,JUNGLE,13,1536,227398,10981,0,27971,15581,0,38,132,136,1,0,30021,481,1120,0,2,5,0,0,8,2,1,0,False,NA1_4573491685
0,0,2,0,0,0,0,9804,12,90,Malzahar,0,1,0,1699,1699,1699,7118,0,8,0,0,0,True,0,3,False,True,False,False,False,True,0,8032,7110,0,MIDDLE,0,0,0,6653,2031,1001,3116,3916,0,3363,15,0,1,MIDDLE,0,0,1,344,78965,4890,9891,0,4,0,0,0,0,0,2,8,0,6038,488,5162,1426,0,0,SOLO,0,62,47,61,2,3,4,2,12,722,YlTLER,False,200,MIDDLE,12,1536,85003,5378,0,15480,0,0,157,320,216,0,0,0,0,426,0,2,5,0,0,11,0,0,0,False,NA1_4573491685
0,4,2,0,0,0,0,9023,12,51,Caitlyn,0,6,4,1461,3984,1461,4178,0,5,0,0,0,True,6,0,False,False,False,False,False,True,0,7749,7675,0,BOTTOM,0,0,0,6672,3094,3006,0,0,1055,3340,19,0,1,BOTTOM,695,0,1,578,1731,527,8556,0,4,0,0,0,0,0,13,9,0,91218,5605,4634,3015,0,0,CARRY,0,43,28,29,5,2,4,2,7,38,Qujxotic,False,200,BOTTOM,10,1536,99781,6229,0,14381,2584,1,163,60,141,2,0,6831,95,1190,0,0,5,0,0,16,1,1,0,False,NA1_4573491685
0,0,2,0,0,0,0,8401,11,99,Lux,0,2,6,645,3687,645,3221,0,4,0,0,0,True,8,6,False,False,False,False,False,True,4,7012,6785,0,UTILITY,0,0,0,6655,0,3853,1052,3020,1058,3364,18,1,4,BOTTOM,0,3,1,690,47328,11450,5893,0,0,0,0,0,0,0,5,10,0,3031,325,2501,4861,0,0,SUPPORT,0,32,17,115,12,2,4,3,3,440,Thresh Flayer,False,200,UTILITY,31,1536,51174,12410,613,9482,673,0,38,216,107,1,0,814,634,1087,0,1,5,0,0,39,4,4,0,False,NA1_4573491685
1,2,14,0,0,0,0,26565,18,420,Illaoi,0,22,1,11725,23327,11725,78763,0,8,0,1,0,True,10,1,False,False,False,False,False,False,0,19115,17800,3,TOP,2,2,1,6333,3193,3111,6662,3053,3071,3340,22,2,11,TOP,0,4,2,550,1544,1061,21617,0,16,1,0,1,0,0,14,1,0,303724,41081,22573,19,0,0,SOLO,0,136,127,42,32,6,12,5,4,448,Prock0819,False,100,TOP,14,2434,316956,43196,0,52617,11841,0,230,1677,367,1,0,11686,1053,8425,5,6,6,0,0,20,0,0,0,True,NA1_4573383673
1,3,11,0,0,0,3,24850,18,81,Ezreal,0,16,4,4983,30520,4983,23152,0,7,0,3,0,True,1,0,False,False,False,True,False,False,0,20265,17500,0,MIDDLE,0,0,1,3042,6694,6662,3158,3748,3156,3363,28,4,18,MIDDLE,0,9,2,1002,49329,23395,24084,0,44,0,0,0,0,0,4,3,0,215619,34305,12127,4649,0,0,SOLO,0,437,89,101,25,6,4,8,3,484,AL Noctis,False,100,MIDDLE,31,2434,272826,60327,0,36783,12209,0,193,2747,229,1,0,7877,2625,571,1,1,6,0,0,28,0,1,0,True,NA1_4573383673
