allInPings,assistMePings,assists,baitPings,baronKills,basicPings,bountyLevel,champExperience,champLevel,championId,championName,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,pushPings,quadraKills,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,matchID
1,13,8,0,0,0,2,11770,14,82,Mordekaiser,0,6,7,1492,45739,1492,30017,0,2,4,0,3,True,0,3,False,True,False,False,False,False,13,12003,10950,0,JUNGLE,0,1,0,3157,3047,2055,1029,6662,3116,3364,26,2,8,JUNGLE,0,5,1,1032,122159,13115,12444,0,132,0,0,1,0,0,11,7,0,29395,3067,15415,546,0,0,NONE,0,130,45,56,6,5,6,14,11,69,slayer56429,False,200,JUNGLE,16,1627,191628,17146,0,29855,7002,0,20,948,51,1,0,40072,963,1995,2,4,0,0,1,31,6,8,5,True,NA1_4496157380
1,5,9,0,0,0,2,9700,12,154,Zac,0,1,6,740,28113,740,18680,0,1,3,0,2,True,0,1,False,False,False,True,False,True,11,9164,6260,0,JUNGLE,1,1,0,3111,0,2055,1026,1052,6665,3340,14,1,2,JUNGLE,0,2,1,670,76029,8120,4600,0,104,0,0,0,0,0,19,2,0,18458,753,15053,546,0,0,NONE,0,50,190,66,8,1,4,13,11,69,slayer56429,False,100,JUNGLE,27,1421,129222,9375,0,20171,20801,0,10,416,21,1,0,34734,502,517,2,3,1,0,0,21,5,0,9,True,NA1_4496145786
1,19,14,0,0,0,0,21444,18,56,Nocturne,0,21,9,3880,30594,3880,64749,0,8,4,3,2,True,5,1,False,False,False,False,False,False,28,20654,18450,0,JUNGLE,1,2,3,6693,3006,6694,3814,6333,3156,3364,37,3,19,JUNGLE,0,9,3,439,11345,4149,13543,0,128,0,0,0,0,0,13,2,0,291360,34981,31721,546,0,0,NONE,0,114,34,42,27,5,6,17,11,69,slayer56429,False,100,JUNGLE,236,2317,352925,44026,0,53466,17311,0,116,739,238,1,1,50219,4895,8201,1,4,10,0,0,38,6,7,5,True,NA1_4496045671
1,25,19,0,2,0,6,21076,18,102,Shyvana,0,1,4,3142,47080,3142,83869,0,4,3,2,2,True,9,1,False,False,False,False,False,False,23,19208,16825,0,JUNGLE,0,1,0,3143,3020,3075,7005,4637,3153,3364,21,4,16,JUNGLE,49,6,2,381,144734,24928,15200,0,145,0,0,1,0,0,23,7,0,91561,18710,28529,546,0,0,NONE,0,169,121,91,19,6,6,21,11,69,slayer56429,False,200,JUNGLE,24,2103,284821,45857,0,46930,6149,0,82,1957,119,1,0,48524,2218,3201,3,4,3,0,0,38,3,12,4,True,NA1_4495637798
0,8,4,0,0,0,7,14593,15,56,Nocturne,0,1,7,1002,33231,1002,20307,0,3,5,1,3,True,6,1,False,False,False,False,False,True,6,15436,14675,0,JUNGLE,0,0,0,6693,3006,0,3814,6333,3156,3364,21,2,17,JUNGLE,0,9,2,868,3737,1303,5436,0,144,0,0,0,0,0,9,7,0,190557,20730,17483,546,0,0,NONE,0,94,21,43,17,1,4,15,11,69,slayer56429,False,200,JUNGLE,144,1603,225556,24077,0,25550,6692,0,56,536,106,1,0,31261,2042,2629,0,0,2,0,0,24,5,2,6,True,NA1_4495515994
1,8,5,0,2,0,20,17821,17,154,Zac,0,6,8,341,49251,341,61261,0,1,3,4,3,True,3,0,False,False,False,False,False,False,4,19248,15775,0,JUNGLE,0,1,0,4637,3111,3105,6665,3135,3068,3364,26,2,22,JUNGLE,0,20,4,778,135112,29189,8690,0,131,0,0,0,0,0,10,2,0,25461,2466,19455,546,0,1,NONE,0,72,267,114,12,4,4,18,11,69,slayer56429,False,100,JUNGLE,48,2201,203448,34190,0,29479,39079,0,28,510,21,1,1,42873,2534,1332,0,2,6,0,0,15,5,1,4,True,NA1_4495408653
1,3,3,0,0,0,0,11963,14,82,Mordekaiser,0,2,6,0,17333,0,39264,0,5,3,0,1,True,6,2,False,False,False,False,False,False,7,11576,11000,0,JUNGLE,0,0,2,3157,0,2055,3116,6662,3047,3364,23,2,6,JUNGLE,0,3,1,819,121928,12652,18625,0,129,0,1,0,0,0,10,2,0,24530,2698,16457,546,0,0,NONE,0,115,31,57,7,6,6,15,11,69,slayer56429,False,100,JUNGLE,18,1874,181735,16990,0,37163,5938,0,29,849,132,1,0,35278,1639,2081,0,0,10,0,0,33,4,11,4,False,NA1_4495377531
3,7,6,0,0,0,1,10635,13,102,Shyvana,0,2,6,0,19852,0,31964,0,4,3,1,1,True,1,1,False,False,False,False,False,False,4,10208,10100,1,JUNGLE,0,0,2,3076,3020,2055,6662,4637,1011,3364,22,2,5,JUNGLE,1,2,2,647,76184,8961,8763,0,100,0,1,0,0,0,9,7,0,38007,3248,20219,546,0,0,NONE,0,90,72,53,8,4,6,14,11,69,slayer56429,False,200,JUNGLE,8,1558,143054,13156,0,29770,2052,0,32,623,142,1,0,28862,946,787,0,0,11,0,0,25,4,2,4,False,NA1_4495351010
2,12,9,0,0,0,0,14134,15,82,Mordekaiser,0,5,7,523,22152,523,54384,0,6,5,1,1,True,3,1,False,False,False,False,False,False,17,14633,13075,0,JUNGLE,0,0,1,2420,3111,6662,4637,3116,3211,3364,26,2,8,JUNGLE,0,4,2,569,166822,24233,25838,0,156,0,1,0,0,0,16,7,0,27909,3856,15556,546,0,0,NONE,0,146,35,64,8,3,6,18,11,69,slayer56429,False,200,JUNGLE,32,2040,232865,30147,0,41844,7468,0,37,1987,165,1,0,38133,2057,449,0,1,7,0,0,35,5,2,6,False,NA1_4495299608
5,39,16,0,0,0,0,18307,17,154,Zac,0,14,9,204,22041,204,90639,0,4,4,1,2,True,10,0,False,False,False,False,False,False,14,16553,15725,1,JUNGLE,0,0,1,4401,3047,3075,6665,3068,1026,3364,32,2,10,JUNGLE,28,6,2,1000,144296,21470,11312,0,137,0,1,0,0,0,16,2,0,30665,1906,29873,546,0,0,NONE,0,73,267,104,15,5,4,22,11,69,slayer56429,False,100,JUNGLE,61,2466,217747,25770,0,50972,52873,0,40,609,117,1,0,42783,2393,9787,1,1,8,0,1,31,5,3,5,False,NA1_4495253233
0,12,2,0,0,0,3,8101,11,154,Zac,0,0,4,1135,13824,1135,16881,0,1,2,1,2,True,1,1,False,False,False,False,False,True,7,8113,8060,0,JUNGLE,0,0,0,3068,3111,2055,1052,6665,0,3364,15,1,3,JUNGLE,0,3,2,362,67646,3352,4408,0,116,0,0,0,0,0,9,2,0,22132,446,11243,546,0,0,NONE,0,48,173,57,2,2,4,10,11,69,slayer56429,False,100,JUNGLE,15,1289,119405,3977,0,16751,16213,0,13,446,12,1,0,29626,178,1098,1,1,1,0,0,22,3,1,3,True,NA1_4495232197
